Date,Open,High,Low,Close,Volume
2015-01-02,1193.8585372854088,1199.4813491371453,1190.9855824944166,1193.193181710667,124925
2015-01-05,1173.8660295784396,1180.749967870582,1168.2132639433485,1172.914624103912,154090
2015-01-06,1190.740493721735,1191.8346154736334,1182.1872414103002,1187.1124685019379,191235
2015-01-07,1169.395537726244,1177.0565481840301,1161.2693886255652,1174.9361264353302,212223
2015-01-08,1180.830880723301,1187.7229301923546,1176.6379919202618,1186.578589009578,239153
2015-01-09,1177.2043325308673,1192.8031146111734,1173.9491022968773,1181.1612428576614,290529
2015-01-12,1184.617760636891,1189.8829853701168,1180.2726601271215,1181.5934028509482,122581
2015-01-13,1173.0629408695488,1179.7680328146032,1168.3850096403853,1172.610624864482,114257
2015-01-14,1161.6709105305554,1173.852533109145,1158.6000397763723,1163.5392689507664,251417
2015-01-15,1166.4474320023585,1174.3015749185722,1155.2386920252793,1169.9984198319803,91858
2015-01-16,1177.624666508053,1183.841814850681,1169.3923033348624,1183.517857608945,301135
2015-01-19,1176.3888932315415,1176.7109126097089,1170.374100550929,1175.3419583499785,131299
2015-01-20,1183.6722648360744,1188.7767219802286,1172.8481301618897,1183.7288443728974,110294
2015-01-21,1168.0768814499434,1173.6149713214731,1165.0508353398839,1166.73793060263,202530
2015-01-22,1185.1261560896069,1187.668180281191,1181.1735920853132,1181.9318067536658,296856
2015-01-23,1183.9266572777146,1187.212461265289,1173.3559750344082,1182.9128051175428,115751
2015-01-26,1162.2866298972972,1165.2059774787735,1155.0577469061304,1157.6580901591242,229811
2015-01-27,1176.4365315098132,1179.210345715502,1174.0739473112624,1177.822775021201,219991
2015-01-28,1196.1656700112387,1197.3757743857623,1174.56810592316,1190.8806137162633,236570
2015-01-29,1168.79531357841,1171.418856119791,1156.216362650119,1167.307300422622,152062
2015-01-30,1181.2498888324246,1185.9818431063027,1180.9351969044776,1183.0940342048248,139585
2015-02-02,1176.062339638207,1185.1008790759636,1171.5314981107351,1175.420204563386,189952
2015-02-03,1188.7961871509872,1189.8452062695737,1179.2288718639763,1181.2546924106969,289807
2015-02-04,1169.270780266268,1173.6783172998778,1164.0433160367795,1173.572080659105,247852
2015-02-05,1168.1446616506598,1173.8848128370441,1167.1885451258752,1170.2009286856323,259054
2015-02-06,1169.5920481658338,1173.9062565865604,1169.2383803329492,1171.02918284247,89810
2015-02-09,1171.4428947707927,1172.9806021209972,1162.492324979095,1170.8459568561589,121216
2015-02-10,1166.3212966565293,1177.6638633403713,1163.687441153469,1166.0948039959865,126887
2015-02-11,1171.2143328667682,1179.1681063908395,1160.0468013984994,1164.82362184749,104459
2015-02-12,1179.2664384495954,1181.6160933252302,1179.2589576634066,1179.9624973273312,222675
2015-02-13,1167.6722728059688,1169.7887522049991,1162.249976523893,1165.4003769288902,310152
2015-02-16,1159.7598692438705,1163.0716464984155,1157.2711655886715,1161.4782293738904,307170
2015-02-17,1157.662919079624,1164.3909766003685,1156.092402669771,1161.4440176157968,250403
2015-02-18,1172.7417680197846,1176.0675784347113,1169.9929164432692,1173.2643627111102,148935
2015-02-19,1148.0305608553908,1154.504950900869,1140.069154238422,1148.8633810597078,248931
2015-02-20,1171.9721779535757,1174.2702018585555,1164.3406604223594,1169.6602725499538,190235
2015-02-23,1174.247517924304,1179.1909036926425,1168.3045437724932,1169.730404709569,159849
2015-02-24,1174.2117539162648,1177.6425589507387,1171.951449867238,1175.774104774664,208337
2015-02-25,1167.660442591003,1173.2158309890187,1163.4883613809989,1163.9565584241568,199596
2015-02-26,1156.857334106406,1166.5074855033617,1154.7838003257643,1160.3183210482177,126134
2015-02-27,1175.0486814787905,1175.3711076646605,1166.9527928778086,1169.0735640379862,83850
2015-03-02,1163.3427716995916,1173.4941487845092,1163.1649078588496,1168.381638571917,190180
2015-03-03,1176.454149614057,1182.4927805846182,1173.5155111882843,1178.22960839977,274243
2015-03-04,1167.8874364340459,1177.5841713105892,1165.9151219218852,1167.059698970268,222826
2015-03-05,1159.6650479866682,1165.5415213613203,1149.7711655673552,1160.9646661626916,282031
2015-03-06,1147.5163084229516,1156.7388644135588,1143.9850381579522,1151.3467492384248,174581
